Region,From 65 to 69 years,From 70 to 74 years,75 years or over,Total,Total Region,Ratio Elder/Total
Italy,3684918,2856226,6828610,13369754,60665551,22
Piemonte,288705,230168,572538,1091411,4404246,25
Valle d'Aosta/Vallée d'Aoste,7922,6358,14796,29076,127329,23
Liguria,109700,91743,242003,443446,1571053,28
Lombardia,603342,475093,1114583,2193018,10008349,22
Trentino-Alto Adige/Südtirol,57575,48876,106772,213223,1059114,20
Veneto,297527,238485,545359,1081371,4915123,22
Friuli-Venezia Giulia,83339,69088,158524,310951,1221218,25
Emilia-Romagna,274229,215398,560217,1049844,4448146,24
Toscana,246159,194770,492093,933022,3744398,25
Umbria,56863,45296,118802,220961,891181,25
Marche,93515,74676,202760,370951,1543752,24
Lazio,343657,267587,623537,1234781,5888472,21
Abruzzo,82557,60294,161552,304403,1326513,23
Molise,19924,13483,40288,73695,312027,24
Campania,320764,230978,493342,1045084,5850850,18
Puglia,248639,186153,417557,852349,4077166,21
Basilicata,34290,23222,68282,125794,573694,22
Calabria,116035,81446,207345,404826,1970521,21
Sicilia,296587,217974,510306,1024867,5074261,20
Sardegna,103589,85138,177954,366681,1658138,22
