Region,From 65 to 69 years,From 70 to 74 years,75 years or over,Total,Total Region,Ratio Elder/Total
Italy,3618837,2977579,6932134,13528550,60589445,22
Piemonte,283305,236515,580249,1100069,4392526,25
Valle d'Aosta/Vallée d'Aoste,7917,6443,15066,29426,126883,23
Liguria,105154,93983,244649,443786,1565307,28
Lombardia,588883,492537,1140955,2222375,10019166,22
Trentino-Alto Adige/Südtirol,56427,50068,110018,216513,1059114,20
Veneto,289074,250182,557154,1096410,4907529,22
Friuli-Venezia Giulia,80019,71414,161991,313424,1217872,26
Emilia-Romagna,266022,224699,566012,1056733,4448841,24
Toscana,237673,204423,497553,939649,3742437,25
Umbria,56495,46584,119736,222815,888908,25
Marche,93121,77483,203249,373853,1538055,24
Lazio,337187,277368,634469,1249024,5898124,21
Abruzzo,82297,63376,162050,307723,1322247,23
Molise,19826,14134,40430,74390,310449,24
Campania,316524,246813,499334,1062671,5839084,18
Puglia,246228,196462,424557,867247,4063888,21
Basilicata,34694,24329,68079,127102,570365,22
Calabria,117001,85929,208282,411212,1965128,21
Sicilia,295904,227749,515775,1039428,5056641,21
Sardegna,105086,87088,182526,374700,1653135,23
